상품번호,제목,부제목,저자,출판사,출간일,판매가,정가,평점,리뷰수,판매지수
154159841,요즘 개발자를 위한 시스템 설계 수업,기초 개념부터 X·인스타그램·구글 독스·넷플릭스 사례 학습과 면접 대비까지,디렌드라 신하,길벗,2025년 09월,31500,35000,9.9,16,7230
111378840,혼자 공부하는 컴퓨터 구조+운영체제,,강민철,한빛미디어,2022년 08월,25200,28000,9.8,117,17283
130156178,"2022 개정 교육과정 평가, AI로 날개를 달다 (개념기반 교육과정)","백워드 설계, 루브릭, 성장중심평가, AI코스웨어, 사회정서학습, IB교육, 평가와 피드백 지원 플랫폼",지미정,앤써북,2024년 09월,18900,21000,9.9,18,20922
141787639,밑바닥부터 시작하는 딥러닝 1,파이썬으로 익히는 딥러닝 이론과 구현,사이토 고키,한빛미디어,2025년 01월,23400,26000,9.2,137,13134
167476779,대한민국 교육 르네상스 : 대전환시대 교육의 본질을 탐하다,OECD 교수·학습 나침반 / 교사정체성 / 비효율의 숙달 / 성찰적 실천 / 공동주도성 / IB교육 / 생성형AI / 사회정서학습(SEL),지미정,앤써북,2026년 01월,18000,20000,10.0,22,4788
154099735,밑바닥부터 만들면서 배우는 LLM,GPT를 내 손으로 직접 단계별로 만들어보면서 대규모 언어 모델의 기본기를 탄탄히 채우기,세바스찬 라시카,길벗,2025년 09월,36000,40000,9.6,21,10032
167719977,"서논술형 평가, AI로 깊이를 더하다","성취기준, 형성평가, 총괄평가, 피드백, 루브릭, 질문, 과정 중심 평가, 깊이 있는 학습, AI 비서, AI 기반 채점·피드백 플랫폼",지미정,앤써북,2025년 12월,22950,25500,10.0,7,4149
154182485,처음이지만 프로처럼 쓰는 노션 Notion,데이터베이스 기초부터 자동화 시스템까지,박한용,디지털북스,2025년 09월,22500,25000,9.9,37,5199
168840773,수노로 시작하는 AI 작곡,"10분이면 완성하는 배경음악, 대중음악, 동요 제작 가이드",강성우,제이펍,2025년 12월,18000,20000,10.0,1,2088
125830483,혼자 공부하는 네트워크,,강민철,한빛미디어,2024년 04월,25200,28000,9.8,46,12138
167584726,AI 자율학습  커서ⅹAI로 완성하는 나만의 웹 서비스,Cursor와 Gemini API로  기획부터 개발ㆍ배포까지 배우는 실무형 바이브 코딩,성구(강성규),길벗,2025년 12월,21600,24000,9.8,12,3573
